DATE,ATM,Cash
39934,ATM1,96
39934,ATM2,107
39935,ATM1,82
39935,ATM2,89
39936,ATM1,85
39936,ATM2,90
39937,ATM1,90
39937,ATM2,55
39938,ATM1,99
39938,ATM2,79
39939,ATM1,88
39939,ATM2,19
39940,ATM1,8
39940,ATM2,2
39941,ATM1,104
39941,ATM2,103
39942,ATM1,87
39942,ATM2,107
39943,ATM1,93
39943,ATM2,118
39944,ATM1,86
39944,ATM2,75
39945,ATM1,111
39945,ATM2,111
39946,ATM1,75
39946,ATM2,25
39947,ATM1,6
39947,ATM2,16
39948,ATM1,102
39948,ATM2,137
39949,ATM1,73
39949,ATM2,95
39950,ATM1,92
39950,ATM2,103
39951,ATM1,82
39951,ATM2,80
39952,ATM1,86
39952,ATM2,118
39953,ATM1,73
39953,ATM2,30
39954,ATM1,20
39954,ATM2,7
39955,ATM1,100
39955,ATM2,118
39956,ATM1,93
39956,ATM2,104
39957,ATM1,90
39957,ATM2,59
39958,ATM1,94
39958,ATM2,40
39959,ATM1,98
39959,ATM2,106
39960,ATM1,73
39960,ATM2,18
39961,ATM1,10
39961,ATM2,9
39962,ATM1,97
39962,ATM2,136
39963,ATM1,102
39963,ATM2,118
39964,ATM1,85
39964,ATM2,64
39965,ATM1,85
39965,ATM2,77
39966,ATM1,108
39966,ATM2,133
39967,ATM1,94
39967,ATM2,45
39968,ATM1,14
39968,ATM2,14
39969,ATM1,3
39969,ATM2,20
39970,ATM1,96
39970,ATM2,147
39971,ATM1,109
39971,ATM2,105
39972,ATM1,96
39972,ATM2,132
39973,ATM1,145
39973,ATM2,93
39974,ATM1,81
39974,ATM2,26
39975,ATM1,16
39975,ATM2,7
39976,ATM1,142
39976,ATM2,112
39977,ATM1,
39977,ATM2,91
39978,ATM1,120
39978,ATM2,72
39979,ATM1,106
39979,ATM2,66
39980,ATM1,
39980,ATM2,82
39981,ATM1,108
39981,ATM2,24
39982,ATM1,21
39982,ATM2,
39983,ATM1,140
39983,ATM2,134
39984,ATM1,110
39984,ATM2,95
39985,ATM1,115
39985,ATM2,82
39986,ATM1,
39986,ATM2,90
39987,ATM1,108
39987,ATM2,99
39988,ATM1,66
39988,ATM2,
39989,ATM1,13
39989,ATM2,3
39990,ATM1,99
39990,ATM2,117
39991,ATM1,105
39991,ATM2,53
39992,ATM1,104
39992,ATM2,44
39993,ATM1,98
39993,ATM2,56
39994,ATM1,110
39994,ATM2,110
39995,ATM1,79
39995,ATM2,36
39996,ATM1,16
39996,ATM2,12
39997,ATM1,110
39997,ATM2,128
39998,ATM1,96
39998,ATM2,72
39999,ATM1,114
39999,ATM2,122
40000,ATM1,126
40000,ATM2,100
40001,ATM1,126
40001,ATM2,108
40002,ATM1,73
40002,ATM2,25
40003,ATM1,4
40003,ATM2,6
40004,ATM1,19
40004,ATM2,22
40005,ATM1,114
40005,ATM2,135
40006,ATM1,98
40006,ATM2,69
40007,ATM1,97
40007,ATM2,52
40008,ATM1,114
40008,ATM2,81
40009,ATM1,78
40009,ATM2,27
40010,ATM1,19
40010,ATM2,4
40011,ATM1,102
40011,ATM2,147
40012,ATM1,94
40012,ATM2,102
40013,ATM1,108
40013,ATM2,83
40014,ATM1,91
40014,ATM2,55
40015,ATM1,86
40015,ATM2,74
40016,ATM1,78
40016,ATM2,22
40017,ATM1,16
40017,ATM2,4
40018,ATM1,114
40018,ATM2,104
40019,ATM1,115
40019,ATM2,81
40020,ATM1,108
40020,ATM2,61
40021,ATM1,102
40021,ATM2,70
40022,ATM1,129
40022,ATM2,126
40023,ATM1,79
40023,ATM2,33
40024,ATM1,13
40024,ATM2,7
40025,ATM1,103
40025,ATM2,126
40026,ATM1,90
40026,ATM2,92
40027,ATM1,68
40027,ATM2,81
40028,ATM1,85
40028,ATM2,49
40029,ATM1,99
40029,ATM2,146
40030,ATM1,86
40030,ATM2,79
40031,ATM1,13
40031,ATM2,37
40032,ATM1,116
40032,ATM2,136
40033,ATM1,105
40033,ATM2,111
40034,ATM1,123
40034,ATM2,78
40035,ATM1,114
40035,ATM2,57
40036,ATM1,127
40036,ATM2,106
40037,ATM1,111
40037,ATM2,38
40038,ATM1,34
40038,ATM2,15
40039,ATM1,151
40039,ATM2,119
40040,ATM1,110
40040,ATM2,110
40041,ATM1,115
40041,ATM2,68
40042,ATM1,112
40042,ATM2,60
40043,ATM1,132
40043,ATM2,92
40044,ATM1,94
40044,ATM2,22
40045,ATM1,24
40045,ATM2,11
40046,ATM1,122
40046,ATM2,121
40047,ATM1,104
40047,ATM2,89
40048,ATM1,128
40048,ATM2,62
40049,ATM1,120
40049,ATM2,79
40050,ATM1,174
40050,ATM2,83
40051,ATM1,96
40051,ATM2,31
40052,ATM1,13
40052,ATM2,4
40053,ATM1,121
40053,ATM2,96
40054,ATM1,133
40054,ATM2,50
40055,ATM1,118
40055,ATM2,52
40056,ATM1,91
40056,ATM2,56
40057,ATM1,120
40057,ATM2,104
40058,ATM1,88
40058,ATM2,27
40059,ATM1,19
40059,ATM2,13
40060,ATM1,150
40060,ATM2,107
40061,ATM1,144
40061,ATM2,125
40062,ATM1,121
40062,ATM2,103
40063,ATM1,105
40063,ATM2,42
40064,ATM1,133
40064,ATM2,90
40065,ATM1,109
40065,ATM2,29
40066,ATM1,18
40066,ATM2,8
40067,ATM1,1
40067,ATM2,2
40068,ATM1,105
40068,ATM2,84
40069,ATM1,112
40069,ATM2,62
40070,ATM1,82
40070,ATM2,77
40071,ATM1,111
